Date,Order_ID,Product,Region,Sales_Rep,Quantity,Unit_Price,Category,Sales,Cost,Profit
2025-01-01,ORD-0001,Mouse,Ontario,Morgan,5,75,Accessories,375,275.89,99.11
2025-01-02,ORD-0002,Headset,Ontario,Alex,3,55,Accessories,165,113.54,51.46
2025-01-04,ORD-0003,Keyboard,Alberta,Morgan,1,850,Accessories,850,503.53,346.47
2025-01-06,ORD-0004,Headset,Quebec,Alex,1,25,Accessories,25,16.3,8.7
2025-01-07,ORD-0005,Headset,Ontario,Casey,8,25,Accessories,200,110.14,89.86
2025-01-09,ORD-0006,Monitor,British Columbia,Morgan,10,25,Computers,250,196.11,53.89
2025-01-11,ORD-0007,Keyboard,Ontario,Taylor,11,120,Accessories,1320,756.12,563.88
2025-01-12,ORD-0008,Keyboard,Ontario,Alex,2,75,Accessories,150,106.69,43.31
2025-01-14,ORD-0009,Keyboard,Alberta,Alex,3,120,Accessories,360,293.86,66.14
2025-01-16,ORD-0010,Headset,Alberta,Morgan,2,75,Accessories,150,104.23,45.77
2025-01-17,ORD-0011,Mouse,Quebec,Taylor,3,120,Accessories,360,287.82,72.18
2025-01-19,ORD-0012,Keyboard,British Columbia,Taylor,7,120,Accessories,840,515.55,324.45
2025-01-21,ORD-0013,Webcam,Alberta,Casey,1,850,Accessories,850,641.91,208.09
2025-01-23,ORD-0014,Headset,Ontario,Taylor,10,55,Accessories,550,381.39,168.61
2025-01-24,ORD-0015,Monitor,,Taylor,8,120,Computers,960,714.76,245.24
2025-01-26,ORD-0016,Mouse,Ontario,Taylor,10,850,Accessories,8500,4818.07,3681.93
2025-01-28,ORD-0017,Webcam,Ontario,Jordan,10,40,Accessories,400,235.96,164.04
2025-01-29,ORD-0018,Webcam,Alberta,Casey,10,55,Accessories,550,322.27,227.73
2025-01-31,ORD-0019,Monitor,Quebec,Alex,2,120,Computers,240,176.53,63.47
2025-02-02,ORD-0020,Mouse,British Columbia,Morgan,3,25,Accessories,75,58.35,16.65
2025-02-03,ORD-0021,Headset,British Columbia,Alex,9,40,Accessories,360,270.86,89.14
2025-02-05,ORD-0022,Laptop,Alberta,Casey,7,40,Computers,280,156.3,123.7
2025-02-07,ORD-0023,Mouse,Alberta,Morgan,4,850,Accessories,3400,2666.1,733.9
2025-02-08,ORD-0024,Monitor,Quebec,Casey,10,40,Computers,400,258.25,141.75
2025-02-10,ORD-0025,Webcam,British Columbia,Taylor,5,55,Accessories,275,180.74,94.26
